
------------------------------------------------------------------------
Apr 21 15:06:22 purevol list --space --effective --total --pending
------------------------------------------------------------------------
Name                                          Size     Virtual  Unique   Snapshots  Total    Method
pxclouddrive-7a9f181abe                       150G     431.50K  431.50K  0.00       431.50K  effective
pxclouddrive-826c5051f4                       150G     707.00K  707.00K  0.00       707.00K  effective
pxclouddrive-83545a625c                       150G     423.00K  423.00K  0.00       423.00K  effective
pxclouddrive-83ea940b08                       64G      158.98M  158.98M  0.00       158.98M  effective
pxclouddrive-a5b3ec4d03                       150G     20.48G   20.48G   0.00       20.48G   effective
pxclouddrive-a66a135391                       150G     442.00K  442.00K  0.00       442.00K  effective
pxclouddrive-e2a858981c                       150G     370.00K  370.00K  0.00       370.00K  effective
pxclouddrive-e3cf6f2b7c                       64G      2.63M    2.63M    0.00       2.63M    effective
pxclouddrive-e7048106f3                       150G     707.00K  707.00K  0.00       707.00K  effective
pxclouddrive-f032287553                       150G     20.74G   20.74G   0.00       20.74G   effective
pxclouddrive-f0d74c83b3                       150G     1.97G    1.97G    0.00       1.97G    effective
pxclouddrive-f679a77465                       150G     3.98G    4.00G    0.00       4.00G    effective
pxclouddrive-f9f544e509                       64G      160.90M  160.90M  0.00       160.90M  effective
vvol--vSphere-HA-da2c92fb-vg/Config-0b9dc56f  4G       5.46M    5.46M    0.00       5.46M    effective
(total)                                       321930G  68.19T   67.02T   16.21T     83.23T   effective
